time,open,high,low,close,tick_volume,ema_220,slope_20,atr_14,slope_normalized,bb_upper,bb_middle,bb_lower,rsi_14,donchian_upper,donchian_lower,HourOfDay,DayOfWeek,ATR_normalized,strategy,direction,y
2021-03-02 02:00:00+00:00,1.2031,1.20355,1.20149,1.20213,1912,1.212280804249505,-7.756722993037534e-05,0.0014416376179171948,-0.05380494304972463,1.2091042019166112,1.2051645833333333,1.2012249647500555,30.34225632364827,1.20925,1.20267,2,1,0.8905509751972004,trend,short,1
2021-03-02 07:00:00+00:00,1.20224,1.20229,1.20027,1.20069,2681,1.2118213414685786,-8.114337067882671e-05,0.0013325369192697472,-0.06089390057822537,1.206714324686095,1.203865,1.201015675313905,27.82532601021964,1.2092100000000001,1.20149,7,1,0.821431547281677,trend,short,0
2021-03-02 08:00:00+00:00,1.20069,1.2016,1.19988,1.20024,2646,1.211716532948501,-8.230496913422814e-05,0.0013602128536076184,-0.06050888941090003,1.20684020958985,1.2036470833333335,1.200453957076817,26.44537813191303,1.20786,1.20027,8,1,0.8376037985133081,trend,short,0
2021-03-05 07:00:00+00:00,1.19532,1.19604,1.1948400000000001,1.19499,2846,1.2078111113217693,-9.581406310705809e-05,0.0013062223362529548,-0.07335203238210691,1.2076015983783914,1.1992666666666667,1.190931734954942,25.373047491725885,1.20621,1.19512,7,4,0.8968677373360374,trend,short,1
2021-03-05 08:00:00+00:00,1.19496,1.19522,1.19139,1.19264,3626,1.2076738161966856,-9.971619828255118e-05,0.0014864921693777439,-0.06708154966217755,1.2073336058653628,1.1987920833333334,1.190250560801304,19.86159476484302,1.20575,1.1948400000000001,8,4,1.0218773611624166,trend,short,1
2021-03-08 06:00:00+00:00,1.19118,1.19143,1.18885,1.1892,1684,1.204754152728745,-0.00013263371469114383,0.0015141655139259116,-0.08759525525532054,1.194612947934687,1.1917879166666665,1.188962885398646,30.354051455873204,1.19604,1.18931,6,0,1.0398978659038185,trend,short,1
2021-03-08 07:00:00+00:00,1.18926,1.18974,1.18787,1.18858,2834,1.2046077803058606,-0.00013350128288398545,0.0015395822629312064,-0.08671266622012956,1.1942797623211998,1.1915208333333334,1.188761904345467,28.4089506779069,1.19604,1.18885,7,0,1.0564037314612658,trend,short,1
2021-03-08 08:00:00+00:00,1.18858,1.1896200000000001,1.18752,1.18772,3037,1.2044549497148573,-0.00013490398620630284,0.0015796121012932782,-0.08540323671606004,1.194524806740322,1.1913158333333334,1.1881068599263447,25.927125132718245,1.19522,1.18787,8,0,1.0823207258122005,trend,short,1
2021-03-08 09:00:00+00:00,1.18772,1.18791,1.18649,1.1871800000000001,2850,1.2042986153282977,-0.000135755533842441,0.0015682112369151853,-0.08656712223889208,1.1947389429046409,1.191085,1.187431057095359,24.48093922481769,1.19458,1.18752,9,0,1.072732828812535,trend,short,1
2021-03-08 12:00:00+00:00,1.18673,1.18728,1.18583,1.18614,2473,1.2038299337259897,-0.0001378710938317096,0.0015317602359703503,-0.0900082732232372,1.1946542943494427,1.1902941666666667,1.1859340389838906,24.602575301843757,1.19458,1.18649,12,0,1.0431499902743508,trend,short,0
2021-03-08 16:00:00+00:00,1.18573,1.18628,1.18453,1.18478,2932,1.2032057954440376,-0.0001417888106553744,0.0016644716810586611,-0.08518547492811164,1.1948735351353938,1.1894687499999999,1.1840639648646059,27.673394602636364,1.19319,1.18563,16,0,1.1291735786692547,trend,short,0
2021-03-08 20:00:00+00:00,1.18577,1.18579,1.18447,1.18448,1487,1.2025660677825922,-0.00014880278854623175,0.0015279757310161547,-0.09738557067740398,1.1945087855989365,1.1884675,1.1824262144010635,30.820636347174144,1.19319,1.18453,20,0,1.0356912943413552,trend,short,0
2021-03-24 07:00:00+00:00,1.18466,1.1847,1.18173,1.18204,2394,1.1916903693084948,-6.507534559916373e-05,0.0011584437652764142,-0.056174798941264294,1.19026437849764,1.18583125,1.1813981215023597,25.090313744895397,1.19314,1.18334,7,2,0.8800879396519132,trend,short,1
2021-03-24 20:00:00+00:00,1.18121,1.1816,1.18093,1.18109,785,1.1906633557581479,-7.596785408179319e-05,0.0012423773698816796,-0.06114716504295965,1.1859793587481506,1.1833129166666667,1.1806464745851828,32.884886278761385,1.1852800000000001,1.1812,20,2,0.9659677133935379,trend,short,1
2021-03-25 12:00:00+00:00,1.18044,1.18095,1.17907,1.17969,2745,1.1893899110634008,-8.016996985873436e-05,0.0011196472897439438,-0.07160287940059117,1.1834446609320173,1.181575,1.1797053390679828,33.45697692058714,1.18384,1.18011,12,3,0.9115131288001345,trend,short,1
2021-03-25 15:00:00+00:00,1.17992,1.17993,1.1773,1.17759,3027,1.1891213302346657,-8.147267149746228e-05,0.0013359238686470203,-0.06098601380629206,1.1836066678386012,1.181165,1.1787233321613988,29.09254487450889,1.18384,1.17907,15,3,1.0919824085407706,trend,short,1
2021-03-25 16:00:00+00:00,1.17759,1.17803,1.1762,1.17624,2248,1.1890047571103701,-8.292993238888658e-05,0.001371215020886519,-0.06047915981497246,1.184178858741873,1.1809116666666666,1.1776444745914603,25.365533236290446,1.18365,1.1773,16,3,1.1209270747733082,trend,short,1
