Ticket,slope_normalized,rsi_14,HourOfDay,DayOfWeek,ATR_normalized,dist_ema_atr,bb_position,is_trend,is_long
98,0.001931330538354814,66.5300521850586,11.0,1.0,0.6347638368606567,8.31201457977295,0.9387837052345276,0.0,0.0
100,0.001931330538354814,72.82160186767578,12.0,1.0,0.7184642553329468,8.808978080749512,1.1158696413040161,0.0,0.0
102,0.0044399527832865715,69.35514068603516,15.0,1.0,0.9148508310317993,6.984151363372803,1.0033679008483887,0.0,0.0
104,0.0044399527832865715,75.5436019897461,16.0,1.0,1.0409551858901978,7.4937639236450195,1.1360065937042236,0.0,0.0
106,0.013383216224610806,72.59884643554688,14.0,2.0,0.9135730266571045,9.328886985778809,1.1202356815338135,0.0,0.0
108,0.014685132540762424,80.0739974975586,15.0,2.0,1.0116068124771118,10.376465797424316,1.312798261642456,0.0,0.0
110,0.014685132540762424,86.10186767578125,16.0,2.0,1.112596035003662,12.051998138427734,1.334419846534729,0.0,0.0
112,0.022926557809114456,75.1029052734375,9.0,3.0,0.6526592969894409,21.484119415283203,0.967459499835968,0.0,0.0
114,0.05020420253276825,69.54049682617188,14.0,2.0,1.142460823059082,6.844134330749512,1.0532053709030151,0.0,0.0
116,0.04364652931690216,76.27949523925781,15.0,2.0,1.191842794418335,8.126327514648438,1.2054429054260254,0.0,0.0
118,0.04904299974441528,69.5333023071289,9.0,1.0,0.6621590256690979,4.377101898193359,1.3234928846359253,0.0,0.0
120,0.04904299974441528,75.1078109741211,10.0,1.0,0.6868934035301208,6.011253833770752,1.2831233739852905,0.0,0.0
122,0.043836869299411774,76.25931549072266,11.0,1.0,0.7280855774879456,6.037489414215088,1.1408789157867432,0.0,0.0
124,0.044120121747255325,71.2486572265625,14.0,2.0,0.8911011219024658,6.1507344245910645,1.3180640935897827,0.0,0.0
126,0.03908861428499222,77.0855712890625,16.0,2.0,1.1357067823410034,6.250466346740723,1.1695772409439087,0.0,0.0
128,0.03908861428499222,79.32986450195312,17.0,2.0,1.222309947013855,6.430140972137451,1.11667799949646,0.0,0.0
130,0.009512390941381454,70.61769104003906,11.0,4.0,0.625761866569519,-1.0827301740646362,1.0931538343429565,0.0,0.0
132,0.009512390941381454,67.05008697509766,12.0,4.0,0.6668663024902344,-1.427233099937439,0.9785350561141968,0.0,0.0
134,-0.019204270094633102,71.1428451538086,12.0,1.0,0.6406337022781372,1.3188114166259766,1.1682546138763428,0.0,0.0
136,-0.019204270094633102,73.02198028564453,13.0,1.0,0.6852806210517883,1.8793047666549683,1.0996066331863403,0.0,0.0
138,-0.019204270094633102,77.66730499267578,14.0,1.0,0.7455459237098694,3.5022132396698,1.1362725496292114,0.0,0.0
140,-0.013228051364421844,83.08816528320312,15.0,1.0,0.810687780380249,6.009702682495117,1.195208191871643,0.0,0.0
142,-0.0024703049566596746,71.66703796386719,15.0,2.0,0.8972103595733643,7.575138568878174,1.0899912118911743,0.0,0.0
144,-0.0024703049566596746,76.9893569946289,16.0,2.0,0.9912362694740295,8.603926658630371,1.2322646379470825,0.0,0.0
146,0.005064894910901785,74.0767593383789,10.0,3.0,0.6726410984992981,14.568944931030273,0.8649381399154663,0.0,0.0
148,0.01904425397515297,67.39485931396484,17.0,0.0,1.1473246812820435,3.314260721206665,1.0645198822021484,0.0,0.0
150,0.020972980186343193,70.01685333251953,9.0,2.0,0.4947046935558319,13.235091209411621,1.1889011859893799,0.0,0.0
152,0.03830672428011894,19.1505069732666,14.0,1.0,0.6239391565322876,-8.112512588500977,0.01967546157538891,0.0,1.0
154,0.033069588243961334,18.33500099182129,15.0,1.0,0.6632459759712219,-8.04513931274414,0.053800780326128006,0.0,1.0
156,-0.021264085546135902,65.03579711914062,17.0,2.0,0.9253780245780945,-0.7868274450302124,0.9254290461540222,0.0,0.0
158,-0.02001527138054371,68.60875701904297,7.0,3.0,0.49901607632637024,0.9140986800193787,0.9256090521812439,0.0,0.0
160,-0.02001527138054371,68.09320831298828,8.0,3.0,0.4446132779121399,0.9357296228408813,0.8897250890731812,0.0,0.0
162,-0.018143435940146446,66.9601821899414,7.0,4.0,1.3043935298919678,1.0047731399536133,0.9343538880348206,0.0,0.0
164,-0.015617677010595798,71.4649887084961,11.0,4.0,1.444735050201416,2.061155080795288,1.0267478227615356,0.0,0.0
166,-0.015617677010595798,75.24429321289062,12.0,4.0,1.5294514894485474,2.6636502742767334,1.0580799579620361,0.0,0.0
168,-0.08034208416938782,67.11213684082031,15.0,1.0,0.9260232448577881,-3.0509183406829834,1.141320824623108,0.0,0.0
170,-0.08034208416938782,74.03787994384766,16.0,1.0,1.0569299459457397,-0.5569480061531067,1.2550945281982422,0.0,0.0
172,-0.04735691845417023,70.03596496582031,9.0,3.0,0.7193061709403992,3.639392137527466,1.1039870977401733,0.0,0.0
174,-0.04735691845417023,71.33033752441406,10.0,3.0,0.6790307760238647,4.350856304168701,1.0512303113937378,0.0,0.0
176,-0.022751668468117714,81.6460952758789,9.0,0.0,0.6518521904945374,10.602680206298828,1.2147687673568726,0.0,0.0
178,-0.022751668468117714,77.00505065917969,10.0,0.0,0.6376665830612183,9.955692291259766,1.0461137294769287,0.0,0.0
180,-0.008711770176887512,73.54236602783203,14.0,4.0,1.115609049797058,3.3074615001678467,1.3498518466949463,0.0,0.0
182,-0.007039530202746391,77.9389877319336,15.0,4.0,1.1159805059432983,5.147911548614502,1.258695125579834,0.0,0.0
184,-0.009975306689739227,65.4700927734375,15.0,1.0,0.7684239745140076,6.774346828460693,0.887281060218811,0.0,0.0
